country,heat_scenario,gcm,band,capacity_mw,capacity_share
Brazil,ssp126,gfdl_esm4,LOW,88758.5,0.4139865064983827
Brazil,ssp126,gfdl_esm4,MEDIUM,125603.0,0.5858362542823095
Brazil,ssp126,gfdl_esm4,HIGH,38.0,0.00017723921930788084
Brazil,ssp126,gfdl_esm4,EXTREME,0.0,0.0
Brazil,ssp126,gfdl_esm4,NO_BAND,0.0,0.0
Brazil,ssp126,miroc6,LOW,88568.1,0.4130984447258506
Brazil,ssp126,miroc6,MEDIUM,110642.1,0.5160557743838022
Brazil,ssp126,miroc6,HIGH,14957.599999999999,0.06976508807156732
Brazil,ssp126,miroc6,EXTREME,0.0,0.0
Brazil,ssp126,miroc6,NO_BAND,231.70000000001164,0.0010806928187799489
Brazil,ssp370,gfdl_esm4,LOW,62458.09999999999,0.29131644430140924
Brazil,ssp370,gfdl_esm4,MEDIUM,147794.9,0.6893434919391136
Brazil,ssp370,gfdl_esm4,HIGH,4146.5,0.019340063759477052
Brazil,ssp370,gfdl_esm4,EXTREME,0.0,0.0
Brazil,ssp370,gfdl_esm4,NO_BAND,0.0,0.0
Brazil,ssp370,miroc6,LOW,82600.7,0.3852653574285388
Brazil,ssp370,miroc6,MEDIUM,116196.4,0.541962084799638
Brazil,ssp370,miroc6,HIGH,15370.7,0.07169186495304328
Brazil,ssp370,miroc6,EXTREME,0.0,0.0
Brazil,ssp370,miroc6,NO_BAND,231.70000000001164,0.0010806928187799489
Brazil,ssp585,gfdl_esm4,LOW,51615.100000000006,0.24074263232890006
Brazil,ssp585,gfdl_esm4,MEDIUM,152619.6,0.7118468093442383
Brazil,ssp585,gfdl_esm4,HIGH,10164.8,0.047410558326861765
Brazil,ssp585,gfdl_esm4,EXTREME,0.0,0.0
Brazil,ssp585,gfdl_esm4,NO_BAND,0.0,0.0
Brazil,ssp585,miroc6,LOW,76363.7,0.3561748045121374
Brazil,ssp585,miroc6,MEDIUM,113887.9,0.5311948022266842
Brazil,ssp585,miroc6,HIGH,23916.2,0.11154970044239843
Brazil,ssp585,miroc6,EXTREME,0.0,0.0
Brazil,ssp585,miroc6,NO_BAND,231.70000000001164,0.0010806928187799489
India,ssp126,gfdl_esm4,LOW,60730.600000000006,0.13117363714572616
India,ssp126,gfdl_esm4,MEDIUM,120891.4,0.2611165481262961
India,ssp126,gfdl_esm4,HIGH,248217.3,0.5361311438301589
India,ssp126,gfdl_esm4,EXTREME,33139.399999999994,0.07157867089781883
India,ssp126,gfdl_esm4,NO_BAND,0.0,0.0
India,ssp126,miroc6,LOW,45056.5,0.09731873194166384
India,ssp126,miroc6,MEDIUM,214620.5,0.46356452251475067
India,ssp126,miroc6,HIGH,179788.90000000002,0.38833082385863543
India,ssp126,miroc6,EXTREME,23512.800000000003,0.05078592168495009
India,ssp126,miroc6,NO_BAND,0.0,0.0
India,ssp370,gfdl_esm4,LOW,50351.1,0.10875467921094426
India,ssp370,gfdl_esm4,MEDIUM,120745.79999999999,0.2608020628162807
India,ssp370,gfdl_esm4,HIGH,246515.0,0.5324543008134067
India,ssp370,gfdl_esm4,EXTREME,45366.799999999996,0.09798895715936823
India,ssp370,gfdl_esm4,NO_BAND,0.0,0.0
India,ssp370,miroc6,LOW,45056.5,0.09731873194166384
India,ssp370,miroc6,MEDIUM,219715.6,0.47456956443136583
India,ssp370,miroc6,HIGH,169972.9,0.3671289845515571
India,ssp370,miroc6,EXTREME,28233.699999999997,0.06098271907541318
India,ssp370,miroc6,NO_BAND,0.0,0.0
India,ssp585,gfdl_esm4,LOW,50259.299999999996,0.10855639795092084
India,ssp585,gfdl_esm4,MEDIUM,91516.5,0.19766892083804286
India,ssp585,gfdl_esm4,HIGH,265935.2,0.5744005069779669
India,ssp585,gfdl_esm4,EXTREME,55267.7,0.11937417423306947
India,ssp585,gfdl_esm4,NO_BAND,0.0,0.0
India,ssp585,miroc6,LOW,39815.799999999996,0.08599920471503332
India,ssp585,miroc6,MEDIUM,195804.6,0.4229235599823491
India,ssp585,miroc6,HIGH,186384.6,0.402577051600862
India,ssp585,miroc6,EXTREME,40973.7,0.08850018370175561
India,ssp585,miroc6,NO_BAND,0.0,0.0
Portugal,ssp126,gfdl_esm4,LOW,7155.4,0.329532522880621
Portugal,ssp126,gfdl_esm4,MEDIUM,14558.39,0.6704674771193789
Portugal,ssp126,gfdl_esm4,HIGH,0.0,0.0
Portugal,ssp126,gfdl_esm4,EXTREME,0.0,0.0
Portugal,ssp126,gfdl_esm4,NO_BAND,0.0,0.0
Portugal,ssp126,miroc6,LOW,14789.9,0.6811293652559042
Portugal,ssp126,miroc6,MEDIUM,6144.59,0.28298099963203105
Portugal,ssp126,miroc6,HIGH,0.0,0.0
Portugal,ssp126,miroc6,EXTREME,0.0,0.0
Portugal,ssp126,miroc6,NO_BAND,779.3000000000029,0.03588963511206486
Portugal,ssp370,gfdl_esm4,LOW,7155.4,0.329532522880621
Portugal,ssp370,gfdl_esm4,MEDIUM,14558.39,0.6704674771193789
Portugal,ssp370,gfdl_esm4,HIGH,0.0,0.0
Portugal,ssp370,gfdl_esm4,EXTREME,0.0,0.0
Portugal,ssp370,gfdl_esm4,NO_BAND,0.0,0.0
Portugal,ssp370,miroc6,LOW,14789.9,0.6811293652559042
Portugal,ssp370,miroc6,MEDIUM,6144.59,0.28298099963203105
Portugal,ssp370,miroc6,HIGH,0.0,0.0
Portugal,ssp370,miroc6,EXTREME,0.0,0.0
Portugal,ssp370,miroc6,NO_BAND,779.3000000000029,0.03588963511206486
Portugal,ssp585,gfdl_esm4,LOW,4554.3,0.20974228819565816
Portugal,ssp585,gfdl_esm4,MEDIUM,17159.49,0.7902577118043419
Portugal,ssp585,gfdl_esm4,HIGH,0.0,0.0
Portugal,ssp585,gfdl_esm4,EXTREME,0.0,0.0
Portugal,ssp585,gfdl_esm4,NO_BAND,0.0,0.0
Portugal,ssp585,miroc6,LOW,14789.9,0.6811293652559042
Portugal,ssp585,miroc6,MEDIUM,6144.59,0.28298099963203105
Portugal,ssp585,miroc6,HIGH,0.0,0.0
Portugal,ssp585,miroc6,EXTREME,0.0,0.0
Portugal,ssp585,miroc6,NO_BAND,779.3000000000029,0.03588963511206486
